"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: isPageAligned","Param: pages"
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:CPI","avgt",1,1,8.213917,NaN,"#/op",false,128
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-dcache-load-misses","avgt",1,1,1269.576070,NaN,"#/op",false,128
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-dcache-loads","avgt",1,1,100199.919381,NaN,"#/op",false,128
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-dcache-store-misses","avgt",1,1,1264.961051,NaN,"#/op",false,128
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-dcache-stores","avgt",1,1,101007.858338,NaN,"#/op",false,128
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-icache-load-misses","avgt",1,1,26.809439,NaN,"#/op",false,128
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:branch-misses","avgt",1,1,38.439404,NaN,"#/op",false,128
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:branches","avgt",1,1,10168.271546,NaN,"#/op",false,128
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:cycles","avgt",1,1,413321.959020,NaN,"#/op",false,128
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:dTLB-load-misses","avgt",1,1,77.669645,NaN,"#/op",false,128
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:dTLB-store-misses","avgt",1,1,92.404232,NaN,"#/op",false,128
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:iTLB-load-misses","avgt",1,1,14.642962,NaN,"#/op",false,128
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:instructions","avgt",1,1,50319.716026,NaN,"#/op",false,128
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:stalled-cycles-frontend","avgt",1,1,30.077045,NaN,"#/op",false,128
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite","avgt",1,5,203.919157,0.410831,"us/op",true,1
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:CPI","avgt",1,1,16.193782,NaN,"#/op",true,1
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-dcache-load-misses","avgt",1,1,1266.995410,NaN,"#/op",true,1
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-dcache-loads","avgt",1,1,100104.312104,NaN,"#/op",true,1
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-dcache-store-misses","avgt",1,1,1254.641227,NaN,"#/op",true,1
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-dcache-stores","avgt",1,1,99439.578513,NaN,"#/op",true,1
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-icache-load-misses","avgt",1,1,34.434565,NaN,"#/op",true,1
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:branch-misses","avgt",1,1,38.476889,NaN,"#/op",true,1
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:branches","avgt",1,1,10037.222989,NaN,"#/op",true,1
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:cycles","avgt",1,1,818435.338790,NaN,"#/op",true,1
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:dTLB-load-misses","avgt",1,1,82.775995,NaN,"#/op",true,1
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:dTLB-store-misses","avgt",1,1,85.773152,NaN,"#/op",true,1
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:iTLB-load-misses","avgt",1,1,14.926361,NaN,"#/op",true,1
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:instructions","avgt",1,1,50540.098091,NaN,"#/op",true,1
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:stalled-cycles-frontend","avgt",1,1,32.561901,NaN,"#/op",true,1
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite","avgt",1,5,203.504633,0.497638,"us/op",true,2
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:CPI","avgt",1,1,11.054378,NaN,"#/op",true,2
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-dcache-load-misses","avgt",1,1,1289.364202,NaN,"#/op",true,2
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-dcache-loads","avgt",1,1,101461.813529,NaN,"#/op",true,2
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-dcache-store-misses","avgt",1,1,1272.292166,NaN,"#/op",true,2
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-dcache-stores","avgt",1,1,101356.860279,NaN,"#/op",true,2
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:L1-icache-load-misses","avgt",1,1,31.287247,NaN,"#/op",true,2
"net.isaiahp.benchmarks.CacheConflictBenchmark.pageReadWrite:branch-misses","avgt",1,1,60.001585,NaN,"#/op",true,2
